id,name,breed,sex,age,status,loc
49182172,Cheese Coney,"Terrier, Pit Bull/Mix",Female/Spayed,8 years,adoption,Foster Home
48308713,Tony Hawk,"Terrier, American Pit Bull/Mix",Male,2 years 4 months,adoption,Foster Home
49213700,Rutledge,"Mixed Breed, Medium (up to 44 lbs fully grown)/Mix",Male,1 year 6 months,adoption,Foster Home
49223311,Stimpy,"Terrier, American Pit Bull/Mix",Male,4 years,adoption,Adoption
49242334,Minion,"Terrier, American Staffordshire/Mix",Male,3 years,adoption,Adoption
49060419,Charlie Hustle,"Terrier, American Pit Bull/Mix",Male/Neutered,8 years 1 month,adoption,Adoption
49090371,Midnight Sky,Retriever/Mix,Female/Spayed,3 years 1 month,adoption,Holding
48766810,Whammy Bar,"Terrier, American Staffordshire/Mix",Male/Neutered,2 years 2 months,adoption,Extended Stay
49127132,Adam,"Terrier, American Staffordshire/Mix",Male/Neutered,3 years 1 month,adoption,Foster Home
48585189,Maple Leaf,"Terrier, American Pit Bull/Mix",Male,2 years 3 months,adoption,Adoption
49141382,C Lo,"Terrier, American Staffordshire/Mix",Male,7 years,adoption,Foster Home
47614397,Bonsai,"Terrier, American Pit Bull/Mix",Male/Neutered,3 years 8 months,adoption,Adoption
48591968,Atilla,"Terrier, American Pit Bull/Mix",Male,1 year 3 months,adoption,Adoption
48978188,Madison,"Terrier, Pit Bull/Mix",Female,3 years 1 month,adoption,Foster Home
48291243,Dempsey,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 5 months,adoption,Adoption
49254306,Mrs. Claus,"Terrier, Pit Bull/Mix",Female,3 years,adoption,New Arrivals
48794477,Pugsley Addams,"Terrier, American Staffordshire/Mix",Male/Neutered,3 years 2 months,adoption,Adoption
49184147,Monstera,Bulldog/Mix,Male,2 years,adoption,Clinic
49200799,Jumpy Jordan,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years,adoption,Adoption
48887513,Reaper,"Terrier, Pit Bull/Mix",Male/Neutered,2 years 2 months,adoption,Adoption
49249490,Big Pun,"Terrier, American Pit Bull/Mix",Male,3 years,adoption,Adoption
49262933,Boomer,"Terrier, American Pit Bull/Mix",Male,3 years,adoption,New Arrivals
48934120,Boboking,"Terrier, American Pit Bull/Mix",Female,4 years 2 months,adoption,Foster Home
49247630,Cortana,Retriever/Mix,Female,1 year,adoption,New Arrivals
49202548,Bourbon,Terrier/Mastiff,Male,4 years,adoption,New Arrivals
49255840,Mack,"Terrier, Pit Bull/Mix",Male,2 years,adoption,Foster Home
48976088,Hilly,"Terrier, American Pit Bull/Mix",Female/Spayed,3 years 1 month,adoption,Foster Home
49233604,Teriyaki,"Terrier, Pit Bull/Mix",Female,2 years,adoption,New Arrivals
48928599,Journey,"Terrier, American Pit Bull/Mix",Male,1 year 2 months,adoption,Holding
47939596,Hauss,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 6 months,adoption,Foster Home
48670787,Summit,"Terrier, Pit Bull/Mix",Female/Spayed,5 years 3 months,adoption,Foster Home
49233925,Jingle Bell,"Terrier, American Pit Bull/Mix",Female,3 years,adoption,Foster Home
49157336,Sheeva,"Terrier, American Pit Bull/Mix",Female,2 years,adoption,Foster Home
49228483,Sweet Pea,"Mixed Breed, Medium (up to 44 lbs fully grown)/Mix",Female/Spayed,3 years,adoption,Foster Home
49031689,Ace,Akita/Mix,Male,2 years 1 month,adoption,Extended Stay
49188323,Swivel,Mastiff/Mix,Male,2 years,adoption,Adoption
46973935,Biggie,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 9 months,adoption,Clinic
49059552,Laverne,"Terrier, American Pit Bull/Mix",Female,2 years 1 month,adoption,Foster Home
45503526,Goliath,"Terrier, American Pit Bull/Mix",Male/Neutered,5 years 3 months,adoption,Adoption
49223287,Ren,Boxer/Mix,Male,6 years,adoption,Adoption
49153063,Tank,"Terrier, American Pit Bull/Mix",Male/Neutered,6 years,adoption,Foster Home
45242235,Mac,"Terrier, American Pit Bull/Mix",Male/Neutered,3 years 4 months,adoption,Adoption
48934393,Kolson,"Terrier, American Pit Bull/Mix",Male,4 years 2 months,adoption,Adoption
49048278,Short Stack,Terrier/Mix,Male/Neutered,3 years 1 month,adoption,Foster Home
48153493,Mel,"Terrier, American Pit Bull/Mix",Female/Spayed,2 years 5 months,adoption,Adoption
49077485,Jethro,"Terrier, American Pit Bull/Mix",Male,2 years 7 months,adoption,New Arrivals
46147807,Theo,"Terrier, American Pit Bull/Mix",Male/Neutered,4 years,adoption,Foster Home
48505133,Alejandro,"Terrier, Pit Bull/Mix",Male/Neutered,1 year 1 month,adoption,Extended Stay
49119237,Lefty,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years,adoption,Foster Home
49046758,Idlewild,"Mixed Breed, Medium (up to 44 lbs fully grown)/Mix",Male, 4 months,adoption,Foster Home
46219704,Deezy,"Terrier, American Pit Bull/Mix",Female/Spayed,9 years 8 months,adoption,Foster Home
48625537,Bobble Head,"Terrier, American Staffordshire/Mix",Male/Neutered,2 years 3 months,adoption,Adoption
45200604,Ivy,"Terrier, American Pit Bull/Mix",Female/Spayed,4 years 6 months,adoption,Foster Home
49235942,Loki,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",Male/Neutered, 11 months,adoption,Adoption
48532085,Sugar Cane,"Terrier, American Pit Bull/Mix",Male/Neutered,8 years 3 months,adoption,Adoption
49261892,Christmas Carol,"Terrier, Pit Bull/Mix",Female,2 years,adoption,Foster Home
49153086,Robin,"Terrier, American Pit Bull/Mix",Female,4 years,adoption,Foster Home
47947345,Honey,"Terrier, American Pit Bull/Mix",Female/Spayed,2 years 6 months,adoption,Adoption
49262497,Kemper,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",Male,2 years,adoption,New Arrivals
49104349,MeiMei,"Terrier, American Pit Bull/Mix",Female/Spayed,3 years 1 month,adoption,Adoption
49010530,Carmel,"Terrier, Pit Bull/Mix",Female/Spayed,2 years 1 month,adoption,Foster Home
48464301,Frogger,"Terrier, American Pit Bull/Mix",Male/Neutered,2 years 4 months,adoption,Foster Home
47715576,Ole Jack,"Terrier, American Pit Bull/Mix",Male/Neutered,8 years 7 months,adoption,Front Office
49266404,BoiBoi,"Terrier, American Pit Bull/Mix",Male,1 year,adoption,New Arrivals
48820883,Enchantress,"Terrier, Pit Bull/Mix",Female,1 year 2 months,adoption,Foster Home
48591411,ZuZu,"Terrier, Pit Bull/Mix",Female/Spayed,6 years 3 months,adoption,Foster Home
49157518,Zen,Terrier/Mix,Male/Neutered,3 years,adoption,Foster Home
46649179,Blake Lively,"Terrier, American Pit Bull/Mix",Female/Spayed,1 year 10 months,adoption,Foster Home
46680831,Bill,"Terrier, American Pit Bull/Mix",Male/Neutered,6 years 10 months,adoption,Foster Home
49229967,FeFe,Boxer/Mix,Female/Spayed,7 years,adoption,Clinic
49016561,David And,"Terrier, American Pit Bull/Mix",Male,4 years 1 month,adoption,Foster Home
47865048,Nipsey Hussle,"Terrier, American Pit Bull/Mix",Male/Neutered,1 year 6 months,adoption,Foster Home
49029070,Tobias,Shepherd/Retriever,Male/Neutered,2 years 1 month,adoption,Adoption
49254297,Santa,Terrier/Mix,Male,3 years,adoption,Foster Home
49082103,Whitney,"Terrier, American Staffordshire/Mix",Female,8 years,adoption,Foster Home
49037491,Kleo,"Terrier, American Pit Bull/Mix",Female/Spayed,8 years 1 month,adoption,Foster Home
48100734,Dwight,"Terrier, American Pit Bull/Mix",Male/Neutered,5 years 5 months,adoption,Adoption
49283379,Rango,Shih Tzu/Mix,Male,11 years,lost&found,
49284763,Jcole,"Terrier, American Pit Bull/Mix",Male,1 year,lost&found,
47736744,Lexi,"Terrier, American Pit Bull/Mix",Female / Spayed, 10 months,lost&found,
49272458,Jelly,"Terrier, Rat/Mix",Female, 5 months,lost&found,
49287920,Boss,"Terrier, Pit Bull/Mix",Male,3 years,lost&found,
49280213,Sandra,"Dachshund, Miniature Wire Haired/Mix",Female,4 years,lost&found,
49244710,Hennessy,"Terrier, American Pit Bull/Mix",Female,2 years,lost&found,
49279496,Trina,"Terrier, Pit Bull/Mix",Female,3 years,lost&found,
49282383,Peete,"Terrier, American Pit Bull/Mix",Male,3 years,lost&found,
49285618,Odie,Terrier/Mix,Male, 6 months,lost&found,
49277544,Texas Ranger,Belgian Malinois/Mix,Male,1 year,lost&found,
49278797,Flurry,Terrier/Mix,Male / Neutered,7 years,lost&found,
49275967,Joey,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",Male,1 year,lost&found,
49285122,Kane,Mastiff/Mix,Male,4 years,lost&found,
49279843,Phoebe,"Terrier, Pit Bull/Mix",Female,2 years,lost&found,
49280186,Tap,"Terrier, American Pit Bull/Mix",Male,3 years,lost&found,
49281758,Kyle,Retriever/Mix,Male,1 year,lost&found,
49282307,Master Chief,German Shepherd/Mix,Male, 7 months,lost&found,
49272461,Crinkles,"Terrier, American Pit Bull/Mix",Male, 2 months,lost&found,
49275990,Rose,"Terrier, Yorkshire/Mix",Female,6 years,lost&found,
49281099,River,Shih Tzu/Mix,Female,1 year,lost&found,
49283386,Chips,"Chihuahua, Short Coat/Mix",Male,8 years,lost&found,
49255896,Cindy Lou,"Terrier, Pit Bull/Mix",Female, 5 months,lost&found,
49281317,Gum Drop,"Terrier, American Pit Bull/Mix",Female,1 year,lost&found,
49273569,Chocolate Bark,"Terrier, Pit Bull/Mix",Female,2 years,lost&found,
49282305,Senior Chief Mendez,German Shepherd/Mix,Male, 7 months,lost&found,
